Gene symbol	Macrophages M2
SLC7A10	26.32189818
REN	26.03111393
BPI	25.96026018
EPB41	25.55686935
SLC12A8	25.3393543
GZMK	24.66700128
TRDC	24.26650252
MROH7	24.0216752
CDHR1	23.8492483
SSX1	23.76513175
TRAF4	23.70038398
GIPR	23.65144355
PRF1	23.15489547
CSF1	23.12217296
ACAP1	23.05515036
LCK	22.85969301
FAM124B	22.79147187
FOSB	22.49743226
EPN2	22.48126594
TRIB2	22.3637411
ZBP1	22.09272622
IL5RA	22.0447246
LHCGR	22.03161941
ZNF286A	21.87563888
TMEM156	21.15896542
KCNA3	20.61657512
KRT18P50	20.17213484
GRAP2	20.12785138
PKD2L2	20.11347878
P2RX5	20.0115018
PAX7	19.33487809
IL5	18.8378526
IL12B	18.65300514
CTLA4	18.03666634
MICAL3	17.81194748
FCRL2	17.75900367
TRAV9-2	17.66320162
PAQR5	17.46905843
NPAS1	17.39161784
TNIP3	17.36410025
CXCL13	16.76076868
P2RY10	16.64319163
CSF2	16.29360796
IGHE	16.09778833
TNFSF14	16.04544391
TRPM6	16.04544391
KCNG2	15.93115384
LEF1	15.80624293
GNLY	15.74284151
NTN3	15.7165782
SKA1	15.6035437
CD3G	15.49172903
PGLYRP1	15.47869427
FAM212B	15.45266056
LTA	14.98197508
ZBTB32	14.98197508
GZMH	14.88173325
Sep-05	14.79336806
CDC25A	14.74324112
LOC100130100	14.61435957
RRP12	14.51466222
CXCR5	14.43114488
BLK	14.41666747
GPR25	14.41666747
PLA1A	14.40398388
KIR3DL2	13.76775417
TNFRSF17	13.52425156
KLRB1	13.5124231
CA8	13.25016669
TRAV8-6	13.1991983
STXBP6	13.12815713
GYPE	13.09271261
CDK6	12.82579482
CCL20	12.8049967
PADI4	12.5310046
TRAV13-1	12.25757399
CD3D	12.22050099
ANGPT4	11.8097012
CEACAM8	11.65755142
SPAG4	11.61080204
MAP4K2	11.5997819
PPFIBP1	11.4758086
ATXN8OS	11.40281159
SH2D1A	11.39071505
GPR19	11.00115106
FLJ13197	10.88684503
BTNL8	10.71025113
CXorf57	10.44585498
WNT7A	10.34392287
GZMM	10.33284771
NAALADL1	10.286083
CCL1	10.20717886
IL9	10.07084824
CD8B	9.973398059
HOXA1	9.891781855
KLRC3	9.753147704
P2RY2	9.463569762
HIST1H2AE	9.272327825
MBL2	9.195676707
MEFV	9.173433177
CDH12	9.085608856
CLCA3P	9.029403736
NOX3	8.992612544
GALR1	8.968861076
NTRK1	8.95713845
BRSK2	8.886630463
HIST1H2BG	8.737345423
MAST1	8.533286435
KIR2DL1	8.522115249
TRAV12-2	8.463162241
PCDHA5	8.255798098
VNN2	8.255798098
DACH1	8.23248634
UBASH3A	8.195551244
IFNA10	7.997120003
MAP3K13	7.843078446
TSHR	7.808323788
APOL6	7.784612131
UPK3A	7.6068206
IL4	7.429093546
PMCH	7.417755579
UGT2B17	7.395068314
IL3	7.30958941
DSC1	6.707735929
TARDBPP1	6.606824787
NKG7	6.547727883
KLRC4	6.458825767
S1PR5	6.433693872
OSM	6.319098182
HIC1	6.223850888
ZNF165	6.080237169
IL17A	5.797213647
EMR3	5.690710112
MGAM	5.665802146
CRISP3	5.556158206
MAGEA11	5.473565526
ICOS	5.065226719
PTPRG	4.706761986
IL26	4.366178616
TRAT1	4.273621867
SMPDL3B	4.031081011
RGS13	3.828607749
ST8SIA1	3.807870165
MAP9	3.785240835
PDE6C	3.505149256
FRK	3.129845825
CCDC102B	2.556420269
SLC12A1	1.712065726
GPR1	0.453354164
